estrutura,n,adicionar,remover,aumentar,diminuir
Fila (LinkedList),1500,0.00109206599972822,0.0005218879996391479,0.003573193000192987,0.0024722829994061613
Fila (LinkedList),1550,0.0012657190000027185,0.0006618919996981276,0.002843672999915725,0.0013962399998490582
Fila (LinkedList),1600,0.001526948999526212,0.0006597770006919745,0.00308013599988044,0.0013761350001004757
Fila (LinkedList),1650,0.0013543300001401803,0.0006393379999281024,0.0028403480000633863,0.0012246880005477578
Fila (LinkedList),1700,0.001201164999656612,0.0006007490001138649,0.0037482329998965724,0.0017479059997640434
Fila (LinkedList),1750,0.0021788590001960983,0.000773356000536296,0.003227373000299849,0.0014984889994593686
Fila (LinkedList),1800,0.0013397069997154176,0.001473764000365918,0.0040250239999295445,0.0012500330003604176
Fila (LinkedList),1850,0.0012899789999210043,0.0007414020001306199,0.0039085100006559514,0.0013737160006712656
Fila (LinkedList),1900,0.0015217660002235789,0.0006848729999546777,0.003329285000290838,0.0020904400007566437
Fila (LinkedList),1950,0.001517374999821186,0.0010562989991740324,0.004494683999837434,0.0014277749996836064
Fila (LinkedList),2000,0.0017518069998914143,0.0017609180004001246,0.004545080999378115,0.0014163420000841143
Fila (LinkedList),2050,0.002344167000046582,0.001696819999779109,0.004561741000543407,0.001404738999553956
Fila (LinkedList),2100,0.0016297350002787425,0.0009145770000031916,0.06863726699975814,0.002143844999409339
Fila (LinkedList),2150,0.0019091670001216698,0.0008849670002746279,0.004129427000407304,0.0024582769992775866
Fila (LinkedList),2200,0.0034383150004941854,0.0015725170005680411,0.005232411000179127,0.0032652850004524225
Fila (LinkedList),2250,0.0032771329997558496,0.0020287019997340394,0.0062432770000668825,0.0020638679998228326
Fila (LinkedList),2300,0.002952501000436314,0.0025824490003287792,0.005152178000571439,0.0019414930002312758
Fila (LinkedList),2350,0.0021635820003211848,0.0014990350000516628,0.003634604000581021,0.0020040460003656335
Fila (LinkedList),2400,0.002016055000240158,0.0010934890005955822,0.005145504000211076,0.0019554979999156785
Fila (LinkedList),2450,0.0041160139999192324,0.00214133600002242,0.00876794199939468,0.0032863019996511866
Fila (LinkedList),2500,0.001808552000511554,0.0009275349993913551,0.006281189000219456,0.0022196529998836922
Fila (LinkedList),2550,0.00202707999960694,0.0016718750002837623,0.005922179000663164,0.0020921049999742536
Fila (LinkedList),2600,0.0018584849995022523,0.0014266240004872088,0.0048468279992448515,0.0035833090005326085
