estrutura,n,adicionar,remover,aumentar,diminuir
Pilha (Array),1450,0.00016503700044268044,0.0008088660006251303,3.65249998139916e-05,3.108500004600501e-05
Pilha (Array),1500,0.0003109170002062456,0.0008182009996744455,2.7975000193691812e-05,2.6952000553137623e-05
Pilha (Array),1550,0.00024589199983893195,0.0004091439996045665,3.8391999623854645e-05,2.6016000447270926e-05
Pilha (Array),1600,0.0002804490004564286,0.0004356159997769282,4.407300002640113e-05,3.0129999686323572e-05
Pilha (Array),1650,0.00026680399969336577,0.0004591819997585844,1.5235999853757676e-05,2.7021000278182328e-05
Pilha (Array),1700,0.0002623919999678037,0.0006385489996318938,3.781000032176962e-05,3.486100013105897e-05
Pilha (Array),1750,0.0003579970007194788,0.0004469499999686377,1.730900021357229e-05,2.9150000045774505e-05
Pilha (Array),1800,0.00026639199950295733,0.00046960700001363875,2.0012000277347397e-05,3.206200017302763e-05
Pilha (Array),1850,0.0002663220002432354,0.00047517500024696346,1.2290000086068176e-05,2.904699977079872e-05
Pilha (Array),1900,0.0002675160003491328,0.00044722800066665513,1.2278000212972984e-05,2.757499987637857e-05
Pilha (Array),1950,0.0003698839991557179,0.0005252440005278913,1.3169999874662608e-05,3.0376000722753815e-05
Pilha (Array),2000,0.0003126129995507654,0.0004725740000139922,4.0859999899112154e-05,2.9494000045815483e-05
Pilha (Array),2050,0.0002839319995473488,0.0005266569996820181,1.4697000551677775e-05,3.5102999390801415e-05
Pilha (Array),2100,0.00031576299988955725,0.0005967939996480709,1.6468000467284583e-05,3.307800034235697e-05
Pilha (Array),2150,0.00037499100017157616,0.0005707069994969061,3.2205000024987385e-05,5.712300026061712e-05
Pilha (Array),2200,0.0003874160001942073,0.000567962999411975,2.355599917791551e-05,3.785399985645199e-05
Pilha (Array),2250,0.00034245100050611654,0.0006047580000085873,1.6468000467284583e-05,3.698799991980195e-05
Pilha (Array),2300,0.0003857420006170287,0.0006019180000294,1.8091999663738534e-05,4.7263999476854224e-05
Pilha (Array),2350,0.0004933430000164662,0.0006443120000767522,1.7010000192385633e-05,3.796600049099652e-05
Pilha (Array),2400,0.00034259499989275355,0.0006125930003690883,2.0658999346778728e-05,3.79170005544438e-05
Pilha (Array),2450,0.00036725100017065415,0.0006481809996330412,2.4424000002909452e-05,5.1156000154151116e-05
Pilha (Array),2500,0.0004795179993379861,0.000827302999823587,2.5291999918408692e-05,5.921499996475177e-05
Pilha (Array),2550,0.0003680219997477252,0.0006844620002084412,2.2463000277639367e-05,4.3740999899455346e-05
Pilha (Array),2600,0.00040252399958262686,0.0011013580005965196,7.999699937499827e-05,0.00013258899980428396
